Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Stimulus_Identity,Color_Matching,Evaluative_Measure_Order,IAT_Block_Order,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,Intentions_response,Intention_Ratings_Recoded,EXPLORATORY_QUESTIONS,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,CS_Color_CS1,CS_Color_CS2,CS_Color_Pos_US,CS_Color_Neg_US,CS_Color_CS1_recoded,CS_Color_CS2_recoded,CS_Color_Pos_US_recoded,CS_Color_Neg_US_recoded,CS_Color_Total_Score_recoded,Hypothesis_Awareness,Hypothesis_Awareness_recoded,Influence_Awareness_response,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response,Color_Training_Contingency_Memory_Blue,Color_Training_Contingency_Memory_Blue_recoded,Color_Training_Contingency_Memory_Yellow,Color_Training_Contingency_Memory_Yellow_recoded,Color_Training_Contingency_Memory_Green,Color_Training_Contingency_Memory_Green_recoded,Color_Training_Contingency_Memory_Purple,Color_Training_Contingency_Memory_Purple_recoded,Total_Contingency_Awareness_Score
99,NA,38,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.191,NA,-2,-2,-3,-2,3,3,3,4,-2.25,3.25,-5.5,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,Blue                                                                                                ,I don’t remember                                                                                  ,Yellow                                                                                              ,0,1,0,1,2,Yes I did.                                                                                          ,1,I think they did.                                                                                   ,1,Yes                                                                                                 ,Yes                                                                                                 ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Yellow                                                                                              ,0,2
100,NA,27,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.07,NA,4,5,5,4,-5,-5,-5,-5,4.5,-5,9.5,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Blue                                                                                                ,1,1,1,0,3,yes                                                                                                 ,1,yes                                                                                                 ,1,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,3
102,NA,37,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.245,NA,-3,-3,-4,-3,4,3,3,3,-3.25,3.25,-6.5,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Purple                                                                                              ,Green                                                                                               ,I don’t remember                                                                                  ,1,0,0,0,1,yes                                                                                                 ,1,yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,1
108,NA,33,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.242,NA,4,5,5,4,5,5,4,5,4.5,4.75,-0.25,I would try both Morag and Struan                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Yellow                                                                                              ,Blue                                                                                                ,0,0,0,0,0,yes i noticed it.                                                                                   ,1,yes                                                                                                 ,1,Yes                                                                                                 ,No                                                                                                  ,Yes                                                                                                 ,Yes                                                                                                 ,No                                                                                                  ,Green                                                                                               ,0,Purple                                                                                              ,0,Yellow                                                                                              ,0,Yellow                                                                                              ,0,0
111,NA,31,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.018,NA,-1,-2,-2,-1,1,1,1,1,-1.5,1,-2.5,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,"Yes, it took me a while to get the first part of the study when it was blocks of colour but understo",1,I think I concentrated more on colour than words                                                    ,1,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
113,NA,40,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.626,NA,4,4,4,4,-3,-3,-3,-3,4,-3,7,I would try Morag                                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes I started to notice the link between purple and green and then deduced the link between blue and,1,No I don't believe they did.                                                                        ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
122,NA,21,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.495,NA,4,-4,4,3,-3,-3,-3,-2,1.75,-2.75,4.5,I would try Morag                                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,Yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
125,NA,36,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.942,NA,0,0,0,0,1,1,1,1,0,1,-1,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Yellow                                                                                              ,Purple                                                                                              ,Yellow                                                                                              ,1,0,1,1,3,yes                                                                                                 ,1,"No, i tried to correlate the colours                                                                ",0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Blue                                                                                                ,0,3
126,NA,21,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.664,NA,0,0,1,3,0,0,-1,3,1,0.5,0.5,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,"Yes. I did take notice of this, and noted it on a piece of paper as I did not know what the next tas",1,"Not really, I was taking notice of the position of the words and either whether they were positive o",0,I don’t know                                                                                      ,No                                                                                                  ,I don’t know                                                                                      ,No                                                                                                  ,Yes                                                                                                 ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
130,NA,22,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.038,NA,4,4,4,4,-3,-3,-3,-3,4,-3,7,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,i dont think i did                                                                                  ,0,yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
134,NA,40,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.276,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yellow was bad and purple was good                                                                  ,1,yellow was bad and purple good                                                                      ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
136,NA,25,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.721,NA,1,1,1,1,0,0,0,-1,1,-0.25,1.25,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yes yellow were bad and purple were good words                                                      ,1,no                                                                                                  ,0,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
137,NA,36,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.53,NA,-2,-1,-2,-1,-2,-1,-1,-1,-1.5,-1.25,-0.25,I would try neither Brand                                                                           ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,I don’t remember                                                                                  ,Purple                                                                                              ,Yellow                                                                                              ,0,0,1,1,2,yes purple was positive and yellow was negative                                                     ,1,i think so to be honest                                                                             ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,2
140,NA,38,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.014,NA,5,5,5,5,5,5,5,5,5,5,0,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,0,0,1,1,2,yes                                                                                                 ,1,yes                                                                                                 ,1,Yes                                                                                                 ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,2
143,NA,38,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.529,NA,5,5,5,5,5,5,5,5,5,5,0,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yes                                                                                                 ,1,yes                                                                                                 ,1,Yes                                                                                                 ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
146,NA,23,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.03,NA,2,2,3,3,-3,-2,-2,-2,2.5,-2.25,4.75,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yes                                                                                                 ,1,yes                                                                                                 ,1,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
148,NA,33,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.135,NA,0,4,5,0,-5,-3,-3,-5,2.25,-4,6.25,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes.                                                                                                ,1,"Yes, I could see that Morag was being associated with positive words and Struan was associated with ",1,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
149,NA,21,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.598,NA,-5,-5,-5,-5,5,5,5,4,-5,4.75,-9.75,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,Yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
150,NA,22,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.723,NA,1,3,2,1,1,1,0,1,1.75,0.75,1,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,"Yes, Morag was always Blue, Yellow was a negative word, purple was a positive word.                 ",1,Well they were both accompanied by a negative and positive word so neither of them really had an eff,0,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
152,NA,27,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.535,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,My memory with words is not very good.                                                              ,0,Im not sure                                                                                         ,0,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,Yes                                                                                                 ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
