Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Evaluative_Measure_Order,Stimulus_Identity,IMPLICIT_MEASURES,EP_Morag_Score,EP_Struan_Score,Size_Matching,EP_Score,Reversed_EP_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EC_Effect_CS1_CS2_Difference_Score_Reversed,EXPLORATORY_QUESTIONS,Contingency_awareness_Size_CS_US_CS1,Contingency_awareness_Size_CS_US_CS2,Contingency_awareness_Size_CS_US_CS1_recoded,Contingency_awareness_Size_CS_US_CS2_recoded,Total_CS_Size_Contingency_Score,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2_recoded,Total_US_Contingency_Score,Hypothesis_Awareness,Influence_Awareness_response,Hypothesis_Awareness_recoded,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
111,NA,31,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-28.075000000000045,-42.388888888888914,CS2_Positive_CS1_Negative                                                                           ,14.313888888888869,-14.313888888888869,NA,I would try Morag                                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No.                                                                                                 ,no                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
1156,NA,20,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,28.162500000000023,-8.710084033613498,CS2_Positive_CS1_Negative                                                                           ,36.87258403361352,-36.87258403361352,NA,I would try Morag                                                                                   ,NA,2,2,2,2,0,0,0,0,2,0,2,-2,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,Those two other words always have a negative meaning                                                ,1,0,1,I did not notice.                                                                                   ,No                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
107,NA,41,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,54.200000000000045,42.52631578947364,CS2_Positive_CS1_Negative                                                                           ,11.673684210526403,-11.673684210526403,NA,I would try Struan                                                                                  ,NA,-4,-4,-4,-4,4,4,-4,4,-4,2,-6,6,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No                                                                                                  ,No                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
308,NA,22,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-87.17142857142858,40.0625,CS2_Positive_CS1_Negative                                                                           ,-127.23392857142858,127.23392857142858,NA,I would try Morag                                                                                   ,NA,-1,-1,-1,-1,-1,0,-1,-1,-1,-0.75,-0.25,0.25,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,Those two other words always have a negative meaning                                                ,Those two other words always have a positive meaning                                                ,0,0,0,No                                                                                                  ,No                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
780,NA,24,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-45.41111111111104,-17.207894736842036,CS2_Positive_CS1_Negative                                                                           ,-28.203216374269005,28.203216374269005,NA,I would try Morag                                                                                   ,NA,-3,-3,-3,-3,-4,-4,-4,-4,-3,-4,1,-1,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"No - I noticed that the size of Morag and Struan differed at times, but I did not notice this partic",No                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
391,NA,24,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,41.052631578947285,7.272222222222126,CS2_Positive_CS1_Negative                                                                           ,33.78040935672516,-33.78040935672516,NA,I would try Morag                                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No it was quite fast and because there were so many words it's hard to remember them all            ,No                                                                                                  ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
759,NA,20,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-23.552287581699318,-56.97953216374265,CS2_Positive_CS1_Negative                                                                           ,33.42724458204333,-33.42724458204333,NA,I would try Morag                                                                                   ,NA,0,0,0,0,0,0,0,-1,0,-0.25,0.25,-0.25,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,I don't remember                                                                                    ,1,0,1,No I didn't                                                                                         ,No it didn't                                                                                        ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
611,NA,35,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,18.41904761904766,47.96923076923076,CS2_Positive_CS1_Negative                                                                           ,-29.550183150183102,29.550183150183102,NA,I would try Struan                                                                                  ,NA,3,3,3,3,3,3,3,3,3,3,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I noticed the word Struan or Morag on the right. Sometimes big sometimes small. Then on the left two,"No, I did not think that. I did not see that. I did not figure that out during the experiment. That ",1,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
948,NA,30,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-10.395424836601364,65.34920634920638,CS2_Positive_CS1_Negative                                                                           ,-75.74463118580775,75.74463118580775,NA,I would try Morag                                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"I did not notice that. I tried to notice patterns, but did not see that.                            ","No. I just tried to code things with the ""good"" or ""bad"" words.                                     ",0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
471,NA,40,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-60.23157894736846,20.15972222222217,CS2_Positive_CS1_Negative                                                                           ,-80.39130116959063,80.39130116959063,NA,I would try Morag                                                                                   ,NA,2,2,2,2,-1,-1,-1,-1,2,-1,3,-3,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No. I thought you were trying to give more importance to the bigger words.                          ,"No. I think the word MORAG sounds pleasant because it's like the name ""Morag"".                      ",0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
1259,NA,21,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-42.65497076023394,-14.29721362229111,CS2_Positive_CS1_Negative                                                                           ,-28.357757137942826,28.357757137942826,NA,I would try neither Brand                                                                           ,NA,-4,-4,-4,-4,-3,-3,-3,-3,-4,-3,-1,1,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,sometimes yeah but wasnt really paying attention to it alwasy                                       ,not really                                                                                          ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
68,NA,31,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,26.22514619883043,31.16111111111104,CS2_Positive_CS1_Negative                                                                           ,-4.93596491228061,4.93596491228061,NA,I would try Struan                                                                                  ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,No                                                                                                  ,Not sure                                                                                            ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
563,NA,33,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-76.30263157894734,53.549999999999955,CS2_Positive_CS1_Negative                                                                           ,-129.8526315789473,129.8526315789473,NA,I would try neither Brand                                                                           ,NA,-2,-2,-2,-2,0,0,0,0,-2,0,-2,2,NA,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,Those two other words always have a positive meaning                                                ,Those two other words always have a positive meaning                                                ,0,0,0,i tried to see a link but didnt spot it                                                             ,possibly but im not entirely sure                                                                   ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
