Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Color_Matching,Stimulus_Identity,Evaluative_Measures_Order,IAT_Block_Order,US_Stimuli_Identity,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,CS_US_Color_Contingency_CS1,CS_US_Color_Contingency_CS2,CS_US_Color_Contingency_CS1_Recoded,CS_US_Color_Contingency_CS2_Recoded,CS_US_Color_Contingency_Total,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,Hypothesis_Awareness,HYPOT0,Hypothesis_Awareness_recoded,Influence_Awareness_response,INFLU0,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Total_Contingency_Awareness_Score
55,NA,39,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.04,NA,I would try Morag                                                                                   ,                                                                                                    ,2,2,1,2,-1,-1,-1,-1,1.75,-1,2.75,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes I did                                                                                                                                                                                                                                                      ,                                        ,1,yes Morag always had positive words the same colour and Struan negative words                                                                                                                                                                                  ,                                         ,1,No            ,No            ,Yes           ,No            ,2
56,NA,26,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.28,NA,I would try Struan                                                                                  ,                                                                                                    ,-2,-1,-2,-2,2,3,2,2,-1.75,2.25,-4,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,no                                                                                                                                                                                                                                                             ,                                        ,0,yes                                                                                                                                                                                                                                                            ,                                         ,1,I don’t know,No            ,No            ,No            ,0
57,NA,22,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.38,NA,I would try neither Brand                                                                           ,                                                                                                    ,3,3,3,3,3,3,3,3,3,3,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,no                                                                                                                                                                                                                                                             ,                                        ,0,no                                                                                                                                                                                                                                                             ,                                         ,0,No            ,Yes           ,No            ,No            ,2
72,NA,31,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.25,NA,I don't know                                                                                        ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,yes I did notice.                                                                                                                                                                                                                                              ,                                        ,1,No it didn't.                                                                                                                                                                                                                                                  ,                                         ,0,No            ,No            ,No            ,No            ,2
73,NA,38,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.15,NA,I would try Struan                                                                                  ,                                                                                                    ,1,1,1,0,1,0,1,0,0.75,0.5,0.25,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,Dependant on the colour used drove my attention to notice more or less due to contrast                                                                                                                                                                         ,                                         ,0,No            ,No            ,No            ,No            ,2
74,NA,29,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-1.01,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes. Positive words stayed the same color as Struan and negative words stayed the same color as Morag.                                                                                                                                                         ,                                        ,1,Yes - the color that stayed the same as the two words gave Moran and Struan a positive or negative feel.                                                                                                                                                       ,                                         ,1,No            ,No            ,I don’t know,No            ,2
78,NA,21,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-0.39,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes                                                                                                                                                                                                                                                            ,                                         ,1,Yes           ,No            ,Yes           ,No            ,2
88,NA,35,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.04,NA,I would try Struan                                                                                  ,                                                                                                    ,2,-3,-1,-2,3,2,3,2,-1,2.5,-3.5,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,yes the words changed colour according to whether morag or straunt was associated with it                                                                                                                                                                      ,                                        ,1,yes the positive words were better                                                                                                                                                                                                                             ,                                         ,1,No            ,No            ,Yes           ,No            ,2
89,NA,32,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.25,NA,I would try Struan                                                                                  ,                                                                                                    ,0,0,0,0,0,0,0,-5,0,-1.25,1.25,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,no                                                                                                                                                                                                                                                             ,                                        ,0,no didnt                                                                                                                                                                                                                                                       ,                                         ,0,No            ,Yes           ,I don’t know,Yes           ,2
93,NA,25,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.18,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-3,-3,-3,3,3,3,3,-3.5,3,-6.5,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,I did notice the color but cannot remember them                                                                                                                                                                                                                ,                                        ,1,"Yes, I associated these words with the word that stayed the same color                                                                                                                                                                                         ",                                         ,1,No            ,No            ,Yes           ,I don’t know,2
99,NA,29,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,1.06,NA,I would try Morag                                                                                   ,                                                                                                    ,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"Yes. it indicated the meaning/caterory of the word, i.e. pleasant or unpleasant.                                                                                                                                                                               ",                                        ,1,"yes. Morag means nice things, Straun means very bad things.                                                                                                                                                                                                    ",                                         ,1,No            ,No            ,No            ,No            ,0
