DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Color_Matching,Evaluative_Measure_Order,IAT_Block_Order,US_stimuli,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Intention_Ratings_Correct_Incorrect,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_Recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_Recoded,Participant,Stimulus_Identity,CS_US_Color_Contingency_CS1,CS_US_Color_Contingency_CS2,CS_Color_Contingency_CS1_Recoded,CS_Color_Contingency_CS2_Recoded,CS_Color_Contingency_Recoded_Total_Score,Hypothesis_Awareness,Hypothesis_Awareness_recoded,Influence_Awareness_response,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response,Total_Contingency_Awareness_Score
NA,49,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.299,NA,I would try Struan                                                                                  ,NA,0,-5,-5,-5,-5,5,5,4,5,-5,4.75,-9.75,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,7,MG_SB                                                                                               ,I don’t remember                                                                                  ,The positive words                                                                                  ,0,1,1,No                                                                                                  ,0,n/a                                                                                                 ,0,0,1,0,0,                                                                                                    ,1
NA,23,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.435,NA,I would try neither Brand                                                                           ,NA,0,3,3,3,3,-2,-2,-2,-2,3,-2,5,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,179,MG_SB                                                                                               ,I don’t remember                                                                                  ,The positive words                                                                                  ,0,1,1,I didn't notice                                                                                     ,0,It didn't                                                                                           ,0,0,0,0,0,                                                                                                    ,1
NA,31,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.522,NA,I would try Struan                                                                                  ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,Those two other words always have a positive meaning                                                ,0,I don’t remember                                                                                  ,0,228,MG_SB                                                                                               ,I don’t remember                                                                                  ,The positive words                                                                                  ,0,1,1,"During the first part of the study, I did NOT notice this pattern                                   ",0,No                                                                                                  ,0,0,2,0,0,                                                                                                    ,1
NA,27,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,0.682,NA,I would try neither Brand                                                                           ,NA,0,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,17,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,No - I did not notice on the first part of the study                                                ,0,No                                                                                                  ,0,1,1,0,0,                                                                                                    ,2
NA,42,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.819,NA,I would try both Morag and Struan                                                                   ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,18,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Yes                                                                                                 ,1,"Yes, naturally.  All negative words were associated to MORAG, while all positve were STRUAN.  I trie",1,0,0,1,1,                                                                                                    ,2
NA,20,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.24,NA,I don't know                                                                                        ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,22,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Yes.                                                                                                ,1,No.                                                                                                 ,0,2,0,0,0,                                                                                                    ,2
NA,33,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.301,NA,I would try Struan                                                                                  ,NA,0,-3,-3,-3,-3,3,3,3,3,-3,3,-6,NA,Those two other words always have a negative meaning                                                ,0,One word always had a positive meaning and the other had a negative meaning                         ,1,23,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,No                                                                                                  ,0,Yes                                                                                                 ,1,0,2,0,0,                                                                                                    ,2
NA,23,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.405,NA,I would try Struan                                                                                  ,NA,0,-4,-5,-5,-3,4,3,4,2,-4.25,3.25,-7.5,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,37,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Yes                                                                                                 ,1,It brings association of the word that changed colour to the on of the two word                     ,1,0,1,1,1,                                                                                                    ,2
NA,31,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-1.184,NA,I would try both Morag and Struan                                                                   ,NA,0,1,0,1,1,2,1,2,2,0.75,1.75,-1,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,38,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One of the two always changed. It seemed like the color of the Morag bad words changed color and the,1,"I don't think so pairticularly, they were both still words without context for me.                  ",0,0,0,0,0,                                                                                                    ,2
NA,26,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.877,NA,I would try Struan                                                                                  ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,50,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"The colour changed to highlight the positive word in the case of STRUAN, or the negative word in the",1,The actual colour of the words highlighted did not influence how much I liked the words MORAG or STR,0,0,0,0,0,                                                                                                    ,2
NA,32,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.912,NA,I would try Struan                                                                                  ,NA,0,3,3,3,3,3,4,2,3,3,3,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,52,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"Yes, they also followed a pattern of being positive or negative.                                    ",1,"Yes, I came to associate Struan with positive things and Morag with negative.                       ",1,0,0,0,0,                                                                                                    ,2
NA,31,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-1.018,NA,I would try Struan                                                                                  ,NA,0,3,-3,-4,-3,4,4,4,4,-1.75,4,-5.75,NA,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,55,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,yes I did notice but was unsure if it was highlighting the bad word or dismissing it in the first se,1,As the study went on it influenced my opinion on the words leading me to dislike morag and like stru,1,0,0,0,0,                                                                                                    ,2
NA,43,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.989,NA,I would try Struan                                                                                  ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,67,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"Yes when Morag was on the left, the negative word was the one that changed colour.  When Struan was ",1,It made you like Struan more                                                                        ,1,0,0,0,0,                                                                                                    ,2
NA,25,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.735,NA,I would try both Morag and Struan                                                                   ,NA,0,-1,-1,-1,-1,2,2,2,2,-1,2,-3,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,72,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Yes                                                                                                 ,1,Yes                                                                                                 ,1,0,0,0,0,                                                                                                    ,2
NA,45,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.601,NA,I would try Struan                                                                                  ,NA,0,-5,-4,-5,-4,5,5,5,5,-4.5,5,-9.5,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,97,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"Yes, one word always changed colour                                                                 ",1,Yes. The word that changed colour was the word I then associated with either Morag or Struan.       ,1,0,0,0,0,                                                                                                    ,2
NA,20,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-1.01,NA,I would try neither Brand                                                                           ,NA,0,-2,-1,-1,-1,0,0,0,0,-1.25,0,-1.25,NA,I don’t remember                                                                                  ,0,One word always had a positive meaning and the other had a negative meaning                         ,1,98,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,no i didnt notice                                                                                   ,0,i perceived morag to be more unpleasant than struan                                                 ,0,0,0,0,0,                                                                                                    ,2
NA,30,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.281,NA,I would try both Morag and Struan                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,132,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"Yes, for example the first was yellow, but the upper word changed to green                          ",1,"Nope - I found the layout of the study made me neutral about both - initially, I started to associat",0,0,0,2,2,                                                                                                    ,2
NA,41,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.644,NA,I would try neither Brand                                                                           ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,134,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Yes                                                                                                 ,1,Yes                                                                                                 ,1,0,0,0,0,                                                                                                    ,2
NA,29,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.837,NA,I would try Struan                                                                                  ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,150,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,yes                                                                                                 ,1,yes                                                                                                 ,1,0,0,0,0,                                                                                                    ,2
NA,43,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.414,NA,I would try Struan                                                                                  ,NA,0,-3,-3,-3,-3,3,3,3,3,-3,3,-6,NA,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,166,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,no                                                                                                  ,0,no                                                                                                  ,0,2,0,0,0,                                                                                                    ,2
NA,29,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.333,NA,I would try Morag                                                                                   ,NA,1,1,1,1,1,0,0,0,0,1,0,1,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,167,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,I did notice it. The colors tried to match Struan with negative words by color and Morag with positi,1,I don't beleive that it did.                                                                        ,0,0,0,2,0,                                                                                                    ,2
NA,27,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,0.922,NA,I would try Struan                                                                                  ,NA,0,2,4,2,4,2,4,4,2,3,3,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,182,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Yes I did notice this.                                                                              ,1,No not at all                                                                                       ,0,0,1,1,1,                                                                                                    ,2
NA,32,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.326,NA,I would try Struan                                                                                  ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,193,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"every time a word changed colour, when morag was presented everytime the negative word would change ",1,yes                                                                                                 ,1,0,0,0,0,                                                                                                    ,2
NA,22,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.774,NA,I would try Struan                                                                                  ,NA,0,0,0,0,0,0,1,1,1,0,0.75,-0.75,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,Those two other words always have a negative meaning                                                ,0,194,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,green                                                                                               ,0,no                                                                                                  ,0,0,0,0,0,                                                                                                    ,2
NA,34,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.635,NA,I would try Struan                                                                                  ,NA,0,-2,-2,-2,-2,4,4,4,4,-2,4,-6,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,195,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"When the word was Morag the colour of the negative word changed while when the word Struan was on, t",1,"I think it did slightly, yes.                                                                       ",1,0,0,0,0,                                                                                                    ,2
NA,50,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.067,NA,I don't know                                                                                        ,NA,0,0,5,0,5,5,0,5,0,2.5,2.5,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,196,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,No I did not notice this I was concerntrating on the colours that the words changed into what words ,0,No it had no influence at all                                                                       ,0,0,0,0,0,                                                                                                    ,2
NA,49,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.758,NA,I would try Struan                                                                                  ,NA,0,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,197,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"Yes, MORAG was a bad word and STRUAN was a good word.                                               ",1,"Yes, I disliked the word MORAG and liked the word STRUAN.                                           ",1,0,0,0,0,                                                                                                    ,2
NA,30,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.04,NA,I would try Struan                                                                                  ,NA,0,-4,-4,-4,-4,4,4,4,4,-4,4,-8,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,199,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"Yes, the word associated with morag was always negative and the word associated with struan was alwa",1,"yes, I liked the positive words and I disliked the negative words                                   ",1,1,1,0,0,                                                                                                    ,2
NA,25,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,-0.207,NA,I would try Struan                                                                                  ,NA,0,-5,-4,-5,-5,4,4,5,4,-4.75,4.25,-9,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,210,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"yes. for Morag the negative word changed colour eg, vomit, hell etc and for Struan the postive word ",1,I more noticed a pattern than had any emotional response. I just knew negative words were for Morag ,0,1,2,0,0,                                                                                                    ,2
NA,32,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,0.055,NA,I would try neither Brand                                                                           ,NA,0,2,2,2,2,-2,-2,-2,-2,2,-2,4,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,211,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,yes                                                                                                 ,1,yes                                                                                                 ,1,2,2,0,0,                                                                                                    ,2
NA,29,Female  ,NA,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,NA,NA,NA,-0.903,NA,I don't know                                                                                        ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,216,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Yes                                                                                                 ,1,no                                                                                                  ,0,0,0,0,0,                                                                                                    ,2
NA,23,Male    ,NA,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,NA,NA,NA,0.32,NA,I would try Morag                                                                                   ,NA,1,2,0,4,3,-3,-3,-1,-1,2.25,-2,4.25,NA,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,230,MG_SB                                                                                               ,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,"Yes, and the words that stayed the same for Morag were positive and for STRUAN negative.            ",1,"Yes, I proabbaly associated each with the words that stayed the same                                ",1,0,0,0,0,                                                                                                    ,2
