Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Evaluative_Measure_Order,Stimulus_Identity,Color_Matching,IMPLICIT_MEASURES,IAT_Score,IAT_Score_RECODED,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EC_Effect_CS1_CS2_Difference_Score_RECODED,EXPLORATORY_QUESTIONS,Contingency_awareness_US_Valence_CS1,Contingency_awareness_US_Valence_CS2,Contingency_awareness_US_Valence_CS1_recoded,Contingency_awareness_US_Valence_CS2_recoded,Total_US_Valence_Contingency_Score,CS_US_Contingency_Awareness_CS1,CS_US_Contingency_Awareness_CS2,CS_US_Contingency_Awareness_CS1_recoded,CS_US_Contingency_Awareness_CS2_recoded,Total_CS_US_Contingency_Score,Hypothesis_Awareness,Influence_Awareness_response,Hypothesis_Awareness_recoded,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Demand_Self_Reports_recoded,Demand_IAT_recoded,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
119,NA,32,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.567334582,-0.567334582,NA,I would try Struan                                                                                  ,1,-2,-2,-4,-4,3,2,4,3,-3,3,-6,6,NA,always have a positive meaning                                                                      ,always have a negative meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,no i didnt                                                                                          ,no                                                                                                  ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
226,NA,29,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.001675698,-0.001675698,NA,I would try Morag                                                                                   ,1,3,4,3,3,-3,-2,-3,-3,3.25,-2.75,6,6,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,I believe so.  I specifically noticed Morag was paired with a lot of positive words.  Straun I did n,I do not believe so.                                                                                ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
259,NA,45,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.352441459,0.352441459,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes I did                                                                                           ,Initially I associated Morag with positive and Struan with negative words but I neither like nor dis,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
303,NA,18,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.186893041,0.186893041,NA,I would try Struan                                                                                  ,1,4,4,4,3,-3,-2,1,-2,3.75,-1.5,5.25,-5.25,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, I did notice it during the second round of the word and color pairing.                         ",I think it did at first until the switching of the characterstics during the sorting activity occure,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
312,NA,33,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.095575715,0.095575715,NA,I would try Struan                                                                                  ,1,-3,-3,-3,-3,3,3,3,3,-3,3,-6,6,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,i think so but im not certain                                                                       ,i think it was more associated in the keybord task i didnt really pick up on it in the first task.  ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
365,NA,22,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.4224663,0.4224663,NA,I would try Struan                                                                                  ,1,-5,-5,-5,-5,5,4,5,4,-5,4.5,-9.5,9.5,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,I don’t remember                                                                                  ,and POSITIVE WORDS subsequently share a color                                                       ,0,1,1,"No, not during the first part of the experiement                                                    ","Not particularly, no                                                                                ",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
384,NA,20,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.600914969,-0.600914969,NA,I would try Struan                                                                                  ,1,0,3,3,0,3,2,2,3,1.5,2.5,-1,1,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,0,1,1,No I did not.                                                                                       ,"It was hard for me to remember what kinds of words were shown with each, but I do not think that it ",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
406,NA,22,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.166788038,0.166788038,NA,I would try neither Brand                                                                           ,0,-1,0,-1,0,0,0,-1,-1,-0.5,-0.5,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ",I don’t remember                                                                                  ,1,0,1,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,no i did not.                                                                                       ,"no, i dont believe so.                                                                              ",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
463,NA,34,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,1.113913645,-1.113913645,NA,I would try Morag                                                                                   ,0,-3,-3,-3,-3,4,4,4,4,-3,4,-7,7,NA,I don’t remember                                                                                  ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,"after a few goes, not initially.                                                                    ",I think so.                                                                                         ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
517,NA,18,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.007418576,0.007418576,NA,I would try Morag                                                                                   ,0,1,-1,1,2,0,0,1,2,0.75,0.75,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,"No, I was paying attention to the colours of the words as I thought I was going to have to write wha",No.                                                                                                 ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,Yes                                                                                                 
549,NA,18,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.562530618,0.562530618,NA,I would try Struan                                                                                  ,1,-4,-3,-5,-5,5,5,5,-5,-4.25,2.5,-6.75,6.75,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,I don’t remember                                                                                  ,and POSITIVE WORDS subsequently share a color                                                       ,0,1,1,I noticed STRUAN and POSITIVE WORDS were in the same colour but not MORAG and negative words        ,"Yes, I do think it influenced how much I like or dislike MORAG and STRUAN                           ",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
560,NA,19,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.125300953,-0.125300953,NA,I would try neither Brand                                                                           ,0,1,1,1,1,-1,-1,-1,-1,1,-1,2,-2,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,"I assumed it would be something to do with colours and positive/negative words, I thought Morag and ","I'm not really sure I was more focused on the colours with the words like torture, vomit, cancer, et",1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
580,NA,21,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.527259234,-0.527259234,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,"No, I just desperately tried to keep up and just writing abbreviations didn't make that clear.      ","No, I don't think so. It was too much info overload to even make those associations.                ",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,Yes                                                                                                 
626,NA,40,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,NA,NA,NA,I would try neither Brand                                                                           ,0,3,3,-5,3,-4,-4,-3,-4,1,-3.75,4.75,-4.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,0,1,1,Yes                                                                                                 ,Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
680,NA,26,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.103727806,0.103727806,NA,I would try neither Brand                                                                           ,0,1,1,1,1,2,2,2,2,1,2,-1,1,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
